Row Labels,Sum of goalsagainsttotaltotal,Count of form,Sum of fixtureslosesaway,Sum of fixturesplayedhome,Sum of fixturesplayedaway,Sum of fixturesplayedtotal,Sum of fixtureswinshome,Sum of fixtureswinsaway,Sum of fixtureswinstotal,Sum of fixturesdrawshome,Sum of fixturesdrawsaway,Sum of fixturesdrawstotal,Sum of fixturesloseshome,Sum of fixtureslosestotal,Sum of goalsfortotalhome,Sum of goalsfortotalaway,Sum of goalsfortotaltotal,Sum of goalsforaveragehome,Sum of goalsforaverageaway,Sum of goalsforaveragetotal,Sum of goalsagainsttotalhome,Sum of goalsagainsttotalaway,Sum of goalsagainstaveragehome,Sum of goalsagainstaverageaway,Sum of goalsagainstaveragetotal,Sum of biggeststreakwins,Sum of biggeststreakdraws,Sum of biggeststreakloses,Count of biggestwinshome,Count of biggestwinsaway,Count of biggestloseshome,Count of biggestlosesaway,Sum of biggestgoalsforhome,Sum of biggestgoalsforaway,Sum of biggestgoalsagainsthome,Sum of biggestgoalsagainstaway,Sum of clean_sheethome,Sum of clean_sheetaway,Sum of clean_sheettotal,Sum of failed_to_scorehome,Sum of failed_to_scoreaway,Sum of failed_to_scoretotal,Sum of penaltyscoredtotal,Sum of penaltyscoredpercentage,Sum of penaltymissedtotal,Sum of penaltytotal
Argentina,19,3,2,10,6,16,7,3,10,1,1,2,2,4,14,10,24,3.8,5.5,4.6,11,8,3.8,3.5,4.1,10,2,1,3,3,3,3,7,8,8,6,4,2,6,2,2,4,0,0,0,0
Australia,20,3,3,4,5,9,1,0,1,0,2,2,3,6,4,4,8,3,2.5,2.7,9,11,6,7,6.7,0,2,5,3,3,3,3,4,3,6,9,0,0,0,2,1,3,3,2,0,3
Belgium,9,3,2,7,5,12,7,3,10,0,0,0,0,2,18,4,22,5,1.5,3.5,6,3,1.7,1.2,1.5,9,0,1,3,3,3,3,7,3,3,2,3,2,5,0,2,2,1,1,0,1
Brazil,21,3,1,13,4,17,7,2,9,3,1,4,3,4,21,7,28,5.4,6.5,5,18,3,3.7,2,3.4,6,3,0,3,3,3,3,8,7,10,3,4,2,6,2,1,3,1,1,0,1
Colombia,7,3,1,5,4,9,3,3,6,1,0,1,1,2,9,9,18,3.3,4.5,3.9,4,3,1.8,1.5,1.6,6,0,1,3,3,3,3,4,7,3,2,2,2,4,0,0,0,5,1.6,2,7
Costa Rica,7,3,1,3,5,8,0,2,2,2,2,4,1,2,1,6,7,0.5,2.3,1.7,2,5,1.5,2.3,2.1,2,0,2,3,3,3,3,1,5,2,3,1,2,3,2,2,4,0,0,0,0
Croatia,15,3,2,4,6,10,2,3,5,1,1,2,1,3,6,14,20,2.7,4.8,4,5,10,3.7,3.3,3.3,4,2,1,3,3,3,3,3,7,4,7,1,2,3,0,0,0,8,0.7273,3,11
Denmark,8,3,1,3,4,7,0,2,2,2,1,3,1,2,2,4,6,1.5,2,1.8,4,4,3.5,2,2.5,2,0,1,3,3,3,3,2,3,4,3,1,1,2,1,1,2,2,0.4,3,5
Egypt,6,3,2,1,2,3,0,0,0,0,0,0,1,3,0,2,2,0,1,0.7,1,5,1,2.5,2,0,0,3,3,3,3,3,0,1,1,3,0,0,0,1,0,1,1,1,0,1
England,17,3,4,5,9,14,1,3,4,2,2,4,2,6,8,9,17,4.5,2.7,3.2,5,12,3.5,4.2,3.7,3,3,3,3,3,3,3,8,4,4,8,1,3,4,2,2,4,7,0.875,1,8
France,13,3,0,10,5,15,7,2,9,0,3,3,3,3,18,7,25,4.6,3.5,4.3,11,2,3.5,1,2.8,4,3,0,3,3,3,3,8,7,6,2,4,4,8,2,3,5,4,2,0,4
Germany,13,3,1,10,7,17,6,6,12,1,0,1,3,4,19,17,36,5.3,5.7,5.6,8,5,2.6,3,2.6,5,1,2,3,3,3,3,10,11,4,5,3,4,7,3,1,4,1,1,0,1
Iceland,5,3,1,1,2,3,0,0,0,0,1,1,1,2,1,1,2,1,0.5,0.7,2,3,2,1.5,1.7,0,1,0,3,3,3,3,1,1,2,2,0,0,0,0,1,1,1,1,0,1
Iran,6,3,2,3,3,6,0,1,1,2,0,2,1,3,1,2,3,0.5,1.5,1,2,4,1,2,2,1,1,1,3,3,3,3,1,2,1,3,1,1,2,2,1,3,1,1,0,1
Japan,15,3,3,5,6,11,1,2,3,2,1,3,2,5,4,8,12,2.5,4,3.2,7,8,3.5,4.7,4.3,2,2,2,3,3,3,3,4,6,6,6,2,1,3,2,2,4,4,1.75,1,5
Mexico,14,3,3,3,9,12,1,4,5,0,2,2,2,5,1,11,12,1,3.6,3.1,4,10,4,3.3,3.6,4,2,0,3,3,3,3,1,7,4,7,1,3,4,2,2,4,2,2,0,2
Morocco,4,3,1,1,2,3,0,0,0,0,1,1,1,2,0,2,2,0,1,0.7,1,3,1,1.5,1.3,0,0,2,3,3,3,3,0,2,1,2,0,0,0,1,1,2,0,0,0,0
Nigeria,14,3,4,5,5,10,2,0,2,1,1,2,2,6,8,1,9,5,0.5,2.8,7,7,4.5,4.5,4.3,2,1,3,3,3,3,3,6,1,7,6,2,1,3,0,4,4,2,2,0,2
Panama,11,3,2,1,2,3,0,0,0,0,0,0,1,3,1,1,2,1,0.5,0.7,2,9,2,4.5,3.7,0,0,3,3,3,3,3,1,1,2,6,0,0,0,0,1,1,0,0,0,0
Peru,2,3,1,1,2,3,0,1,1,0,0,0,1,2,0,2,2,0,1,0.7,1,1,1,0.5,0.7,0,0,2,3,3,3,3,0,2,1,1,0,1,1,1,1,2,0,0,0,0
Poland,5,3,0,2,1,3,0,1,1,0,0,0,2,2,1,1,2,0.5,1,0.7,5,0,2.5,0,1.7,0,0,2,3,3,3,3,1,1,3,0,0,1,1,1,0,1,0,0,0,0
Portugal,14,3,3,5,6,11,3,0,3,2,3,5,0,3,13,4,17,7.5,2,4.6,4,10,2.5,5,4.1,2,3,1,3,3,3,3,12,3,4,7,3,1,4,1,3,4,1,1,0,1
Russia,10,3,2,4,4,8,2,0,2,2,2,4,0,2,11,2,13,4.3,1,2.9,4,6,2,3,2.4,2,1,2,3,3,3,3,6,2,3,4,1,0,1,0,2,2,8,0.8,2,10
Saudi Arabia,7,3,2,1,2,3,1,0,1,0,0,0,0,2,2,0,2,2,0,0.7,1,6,1,3,2.3,0,0,2,3,3,3,3,2,0,1,5,0,0,0,0,2,2,1,1,0,1
Senegal,4,3,0,1,2,3,0,1,1,0,1,1,1,1,0,4,4,0,2,1.3,1,3,1,1.5,1.3,1,1,0,3,3,3,3,0,2,1,2,0,0,0,1,0,1,0,0,0,0
Serbia,7,3,1,3,3,6,0,2,2,0,0,0,3,4,1,3,4,0.5,2,1.4,5,2,3,1,2.3,2,0,1,3,3,3,3,1,2,3,2,0,2,2,2,0,2,0,0,0,0
South Korea,17,3,3,5,5,10,2,0,2,0,2,2,3,6,7,5,12,4.5,2.3,3.5,7,10,3.5,4.7,5,1,2,3,3,3,3,3,6,3,6,6,2,0,2,1,1,2,0,0,0,0
Spain,15,3,0,7,7,14,2,6,8,2,1,3,3,3,7,12,19,3,6.3,4.2,11,4,5.3,1.8,4.1,1,1,3,3,3,3,3,5,8,8,4,2,5,7,2,0,2,4,1.6,2,6
Sweden,4,3,1,3,2,5,2,1,3,0,0,0,1,2,2,4,6,0.7,2,1.2,2,2,0.7,1,0.8,2,0,1,3,3,3,3,1,3,2,2,2,1,3,1,0,1,2,1,0,2
Switzerland,13,3,3,4,7,11,1,3,4,2,1,3,1,4,6,7,13,4,3,3.4,8,5,5,2,3.4,3,1,2,3,3,3,3,4,6,7,3,1,2,3,1,3,4,0,0,0,0
Tunisia,8,3,1,1,2,3,0,1,1,0,0,0,1,2,1,4,5,1,2,1.7,2,6,2,3,2.7,0,0,2,3,3,3,3,1,2,2,5,0,0,0,0,0,0,1,1,0,1
Uruguay,17,3,1,11,5,16,5,4,9,2,0,2,4,5,16,6,22,4.4,3.5,4,15,2,4.4,1,3.2,9,1,1,3,3,3,3,7,5,8,2,3,4,7,2,1,3,6,1.8333,1,7
